zip,city,cnty_fips_cd,county,urban_rural_ind,st_cd,st_nm,region_hhs_id,region_hhs_nm,div_cens_id,div_cens_nm,region_cens_id,region_cens_nm,lat_nbr,lon_nbr,x_coord_albers_nbr,y_coord_albers_nbr,
50220,Perry,49,Dallas,U,IA,Iowa,7,Kansas City,4,West North Central,2,Midwest,41.838,-94.1054,0.34646348,0.00184684,0
50228,Prairie City,99,Jasper,R,IA,Iowa,7,Kansas City,4,West North Central,2,Midwest,41.5906,-93.2387,0.35834233,0.00135414,0
50240,Saint Charles,121,Madison,R,IA,Iowa,7,Kansas City,4,West North Central,2,Midwest,41.2927,-93.7837,0.35354998,-0.00598912,0
50244,Slater,169,Story,U,IA,Iowa,7,Kansas City,4,West North Central,2,Midwest,41.8765,-93.6792,0.35134758,0.00428396,0
50248,Story City,169,Story,U,IA,Iowa,7,Kansas City,4,West North Central,2,Midwest,42.1856,-93.5982,0.350476,0.00983139,0
50276,Woodward,49,Dallas,U,IA,Iowa,7,Kansas City,4,West North Central,2,Midwest,41.8559,-93.9192,0.34859285,0.00292684,0
50312,Des Moines,153,Polk,U,IA,Iowa,7,Kansas City,4,West North Central,2,Midwest,41.5851,-93.6717,0.35316857,-0.00059073,0
50316,Des Moines,153,Polk,U,IA,Iowa,7,Kansas City,4,West North Central,2,Midwest,41.6093,-93.5984,0.35390659,0.00012821,0
50320,Des Moines,153,Polk,U,IA,Iowa,7,Kansas City,4,West North Central,2,Midwest,41.5393,-93.5824,0.35451607,-0.0009816,0
50324,Windsor Heights,153,Polk,U,IA,Iowa,7,Kansas City,4,West North Central,2,Midwest,41.605,-93.7121,0.35256423,-0.00042713,0
50424,Buffalo Center,189,Winnebago,R,IA,Iowa,7,Kansas City,4,West North Central,2,Midwest,43.4124,-93.9298,0.33929059,0.02914568,0
50428,Clear Lake,33,Cerro Gordo,U,IA,Iowa,7,Kansas City,4,West North Central,2,Midwest,43.1373,-93.3837,0.34731415,0.02676053,0
50436,Forest City,189,Winnebago,R,IA,Iowa,7,Kansas City,4,West North Central,2,Midwest,43.2664,-93.6396,0.34354753,0.02787335,0
50452,Latimer,69,Franklin,R,IA,Iowa,7,Kansas City,4,West North Central,2,Midwest,42.7675,-93.3661,0.34974309,0.02060704,0
50456,Manly,195,Worth,R,IA,Iowa,7,Kansas City,4,West North Central,2,Midwest,43.2853,-93.2178,0.34836141,0.02994653,0
50472,Saint Ansgar,131,Mitchell,R,IA,Iowa,7,Kansas City,4,West North Central,2,Midwest,43.389,-92.9262,0.35112916,0.03291753,0
50536,Emmetsburg,147,Palo Alto,R,IA,Iowa,7,Kansas City,4,West North Central,2,Midwest,43.111,-94.684,0.33220027,0.02100372,0
50540,Fonda,151,Pocahontas,R,IA,Iowa,7,Kansas City,4,West North Central,2,Midwest,42.5887,-94.842,0.33332165,0.01152597,0
50548,Humboldt,91,Humboldt,U,IA,Iowa,7,Kansas City,4,West North Central,2,Midwest,42.7182,-94.2232,0.33991457,0.01622147,0
50588,Storm Lake,21,Buena Vista,U,IA,Iowa,7,Kansas City,4,West North Central,2,Midwest,42.6422,-95.1962,0.32880541,0.01102266,0
50616,Charles City,67,Floyd,R,IA,Iowa,7,Kansas City,4,West North Central,2,Midwest,43.0674,-92.6701,0.35608573,0.02860301,0
50628,Elma,89,Howard,R,IA,Iowa,7,Kansas City,4,West North Central,2,Midwest,43.2697,-92.4437,0.35747594,0.03296956,0
50636,Greene,23,Butler,R,IA,Iowa,7,Kansas City,4,West North Central,2,Midwest,42.8921,-92.805,0.35558259,0.0250819,0
50644,Independence,19,Buchanan,R,IA,Iowa,7,Kansas City,4,West North Central,2,Midwest,42.4692,-91.8968,0.36887892,0.02195019,0
50648,Jesup,19,Buchanan,R,IA,Iowa,7,Kansas City,4,West North Central,2,Midwest,42.4663,-92.0733,0.3668197,0.02112094,0
50676,Tripoli,17,Bremer,R,IA,Iowa,7,Kansas City,4,West North Central,2,Midwest,42.8051,-92.2634,0.36246895,0.02596062,0
50680,Wellsburg,75,Grundy,R,IA,Iowa,7,Kansas City,4,West North Central,2,Midwest,42.4413,-92.9386,0.35676329,0.01693719,0
50864,Villisca,137,Montgomery,U,IA,Iowa,7,Kansas City,4,West North Central,2,Midwest,40.9684,-94.9838,0.34082972,-0.01647186,0
51004,Anthon,193,Woodbury,U,IA,Iowa,7,Kansas City,4,West North Central,2,Midwest,42.3793,-95.8872,0.3220183,0.00385397,0
51012,Cherokee,35,Cherokee,R,IA,Iowa,7,Kansas City,4,West North Central,2,Midwest,42.7509,-95.5531,0.32395159,0.01146709,0
51028,Kingsley,149,Plymouth,R,IA,Iowa,7,Kansas City,4,West North Central,2,Midwest,42.5893,-95.9768,0.31979431,0.00707988,0
